Student_Names,Math,Physics,Chemistry,Grade,Comment,Roll No.
Justin Lutz,24,97,29,D,Poor Pursuance,590008
Danielle Stafford,77,38,92,B,Average Performance,536837
Shelby Cochran,88,88,47,B+,Good Pursuance,570748
Sean Navarro,31,28,86,D,Poor Pursuance,556466
Brandon James,69,85,75,B+,Good Pursuance,595243
Patricia Jackson,28,45,41,D,Poor Pursuance,596508
Alex Dickerson,27,56,17,D,Poor Pursuance,555236
Samantha Kelley,13,37,31,F,Failed,547823
Felicia Kim,24,20,100,D,Poor Pursuance,509680
Amanda Hernandez,65,73,72,B,Average Performance,507738
Mrs. Karen Garcia,43,58,82,B,Average Performance,508484
Leroy Santiago,16,21,77,D,Poor Pursuance,508190
Patricia Marquez,44,72,70,B,Average Performance,570555
Ryan Russell,92,16,19,D,Poor Pursuance,527989
Heather Cantrell,66,66,14,D,Poor Pursuance,534623
Nathan Hill,78,97,45,B+,Good Pursuance,508513
James Owens,56,68,43,C,Below Average Achivement,546711
Jill Jones,11,10,12,F,Failed,569850
Gregory Delacruz,56,16,38,D,Poor Pursuance,593575
Joshua Flores,27,27,81,D,Poor Pursuance,526476
Ronald Winters,69,58,63,B,Average Performance,509143
John Moran,78,67,96,B+,Good Pursuance,543929
Michele Lang,65,82,23,C,Below Average Achivement,503854
Walter York,20,77,24,D,Poor Pursuance,585897
Troy Morris,33,32,67,D,Poor Pursuance,550692
Kelli James,35,50,23,D,Poor Pursuance,543970
Timothy Jones,65,68,61,B,Average Performance,583137
Linda Hunter,87,29,19,D,Poor Pursuance,553936
Lisa Davis,50,10,72,D,Poor Pursuance,533171
Robert Delacruz,98,73,15,B,Average Performance,546484
Timothy Elliott,48,65,73,B,Average Performance,529630
Justin Frazier,31,54,71,C,Below Average Achivement,553512
Stephen Peterson,35,43,37,D,Poor Pursuance,577164
Michael Wagner,56,11,60,D,Poor Pursuance,507597
Michele Diaz,42,18,44,D,Poor Pursuance,571858
Pamela Harmon,76,73,25,C,Below Average Achivement,564731
Robert Russell,15,42,67,D,Poor Pursuance,585232
Derrick Anderson,86,40,27,C,Below Average Achivement,567254
Raymond Vasquez,85,40,73,B,Average Performance,529274
Marcus Rivera,29,21,41,F,Failed,537125
Ellen Fernandez,36,98,76,B,Average Performance,543798
Crystal Moody,24,16,56,F,Failed,573932
Christopher Andrews,16,84,74,C,Below Average Achivement,518226
Carla Reed,74,37,23,D,Poor Pursuance,542279
Kayla Austin,74,53,12,D,Poor Pursuance,501122
Laurie Figueroa,28,26,78,D,Poor Pursuance,584443
Jason Cruz,75,88,14,C,Below Average Achivement,500160
Peter Campbell,46,72,33,D,Poor Pursuance,527618
Sandra Castro,63,74,81,B+,Good Pursuance,592050
Alicia Cummings,36,29,71,D,Poor Pursuance,538932
Kathleen Shepard,28,30,73,D,Poor Pursuance,561823
Tiffany Hughes,61,11,38,D,Poor Pursuance,525313
Eric Turner,21,64,45,D,Poor Pursuance,560616
Debra Miller,23,75,39,D,Poor Pursuance,519334
Jacob Small,13,69,81,C,Below Average Achivement,567924
Amy Walker,22,17,56,F,Failed,585166
Katherine King,21,89,57,C,Below Average Achivement,500464
Aaron Hernandez,54,54,49,C,Below Average Achivement,527377
Lisa Conner,58,39,38,D,Poor Pursuance,550714
Michael Boyer,98,74,66,B+,Good Pursuance,553616
Deanna Rodriguez,58,43,46,D,Poor Pursuance,577552
Nicole Pena,47,40,65,D,Poor Pursuance,547007
Jonathan White,93,16,14,D,Poor Pursuance,570163
Cynthia Howard,31,12,39,F,Failed,576688
Daniel Moreno,92,42,25,C,Below Average Achivement,595292
Melissa Thomas,42,73,62,C,Below Average Achivement,598667
Gregory Beard,23,43,40,D,Poor Pursuance,505790
Theresa Dalton,31,22,39,F,Failed,518744
Rachel Allen,36,37,25,F,Failed,525124
Claudia Schaefer,34,23,26,F,Failed,543470
Dillon Palmer,99,98,92,A+,Excellent Performance,553430
Gregory Scott,29,88,87,B,Average Performance,594443
Jeremy Garcia,96,79,54,B+,Good Pursuance,562073
Jack Hammond,31,75,11,D,Poor Pursuance,571699
Christopher Ho,36,48,61,D,Poor Pursuance,508003
Rhonda Collins,42,73,59,C,Below Average Achivement,582327
Caroline Moss,88,88,58,B+,Good Pursuance,588556
Justin Morris,40,22,62,D,Poor Pursuance,515533
Melissa Gutierrez,12,79,25,D,Poor Pursuance,574306
Natasha Singh,97,79,15,B,Average Performance,519657
Donald Anderson,38,14,81,D,Poor Pursuance,559981
Angela Petersen,48,42,40,D,Poor Pursuance,599634
Karl Ellis,64,58,34,C,Below Average Achivement,507721
Michelle Scott,93,62,20,C,Below Average Achivement,504419
Randall Brooks,50,12,41,D,Poor Pursuance,516565
Karen Larsen,58,53,93,B,Average Performance,523896
Candace Harris,31,47,82,C,Below Average Achivement,597753
Justin Cook,38,39,100,C,Below Average Achivement,591836
Heather Reese,26,30,91,D,Poor Pursuance,509695
Erica Chapman,89,85,36,B,Average Performance,597570
Miss Kim Mcguire,38,72,53,C,Below Average Achivement,566544
Tiffany Jones,99,66,22,B,Average Performance,518325
Ashley Calderon,100,61,48,B,Average Performance,593692
Joel Andrews,81,17,19,D,Poor Pursuance,568418
Clifford Woods,55,49,53,C,Below Average Achivement,562082
Natalie Sanchez,49,98,55,B,Average Performance,555273
Courtney Salazar,17,75,81,C,Below Average Achivement,554099
Gregory Walter,88,87,74,A,Very Good Achivement,576258
Kara Galvan,45,30,43,D,Poor Pursuance,597124
Amanda Collins,93,62,72,B+,Good Pursuance,506504
Samantha Powers,37,18,21,F,Failed,585944
Theodore Trevino,76,25,86,B,Average Performance,508946
Deborah Conway,41,46,90,C,Below Average Achivement,587299
Eileen Sanders,24,78,15,D,Poor Pursuance,519211
Amanda Bradley,90,50,10,D,Poor Pursuance,578388
Nancy Thomas,18,57,30,D,Poor Pursuance,507309
Gregory Hawkins,24,86,23,D,Poor Pursuance,547185
Justin Edwards,83,79,83,A,Very Good Achivement,501328
Joel Cohen,50,86,39,C,Below Average Achivement,502177
Kevin Jordan,68,72,28,C,Below Average Achivement,521528
Jeffrey Bennett,32,27,49,D,Poor Pursuance,560378
Kevin Williams,26,79,80,B,Average Performance,553679
Benjamin Bond,82,87,45,B+,Good Pursuance,559771
John Singh,79,45,55,C,Below Average Achivement,592328
Melissa Berry MD,98,80,17,B,Average Performance,583789
Nathan Thompson,95,39,20,C,Below Average Achivement,565555
Gary Jackson,72,12,96,C,Below Average Achivement,559679
Ryan Williams,31,79,99,B,Average Performance,522244
Kelly Martin,23,50,68,D,Poor Pursuance,552477
John Hardy,92,88,39,B+,Good Pursuance,508081
Katelyn Wyatt,92,82,16,B,Average Performance,560862
Yolanda Hayes,52,78,92,B+,Good Pursuance,573801
Stephanie Hansen,28,32,11,F,Failed,599374
Kerri Horton,100,51,78,B+,Good Pursuance,535826
Julie Smith,80,25,49,C,Below Average Achivement,576746
Nancy Burton,43,88,10,D,Poor Pursuance,551110
Mark Howard,85,54,41,C,Below Average Achivement,599962
Julie Herman,56,93,44,B,Average Performance,540564
Christopher Lopez,96,61,55,B,Average Performance,522850
Russell Hinton,100,17,20,D,Poor Pursuance,590327
Oscar Gomez,91,50,18,C,Below Average Achivement,532881
Warren Hernandez,13,56,21,F,Failed,539243
Erin Grant,68,50,77,B,Average Performance,554972
Tommy Cannon,56,66,92,B+,Good Pursuance,544951
Joseph Garner,68,89,50,B,Average Performance,571900
Nathan Washington,13,40,84,D,Poor Pursuance,507878
Jeffrey Crawford,94,59,45,B,Average Performance,544603
Zachary Rodriguez,33,10,37,F,Failed,565985
Veronica Park,15,53,31,D,Poor Pursuance,546547
Jessica Lee,19,71,88,C,Below Average Achivement,553194
Brittany Brown,64,40,60,C,Below Average Achivement,564263
Seth Brown,44,79,87,B,Average Performance,594559
Jonathan Knapp,70,74,84,B+,Good Pursuance,533994
Daniel Abbott,78,76,69,B+,Good Pursuance,541136
Troy Castro,44,49,90,B,Average Performance,514095
Carlos Clark,75,69,70,B+,Good Pursuance,555429
Lisa Johnson,73,59,42,C,Below Average Achivement,543742
John Mason,70,19,14,D,Poor Pursuance,550987
Carrie Benitez,52,10,85,D,Poor Pursuance,587790
Richard Perry,48,15,87,D,Poor Pursuance,544744
Jennifer Keith,65,44,67,C,Below Average Achivement,561317
Dakota Jones,45,46,26,D,Poor Pursuance,583695
Jennifer Nguyen,85,84,29,B,Average Performance,592719
Laura Kelley,89,34,95,B+,Good Pursuance,595307
Cassandra Rodriguez,22,50,71,D,Poor Pursuance,550563
Brett Barr,21,95,97,B+,Good Pursuance,548515
Richard Nielsen,67,85,24,C,Below Average Achivement,572536
Matthew Soto,28,21,20,F,Failed,575488
Jon Smith,25,13,66,D,Poor Pursuance,556304
Kelly Hunter,28,50,48,D,Poor Pursuance,506069
Susan Flowers,38,79,91,B,Average Performance,536193
April Smith,10,75,27,D,Poor Pursuance,591378
Wendy Hines,38,52,73,C,Below Average Achivement,502022
William Flores,66,36,72,C,Below Average Achivement,565124
Diana Rice,50,98,99,A,Very Good Achivement,506660
Karen Booker,36,24,34,F,Failed,516912
Ivan Allen,46,37,76,C,Below Average Achivement,572259
Kimberly Thompson,19,71,79,C,Below Average Achivement,582056
Andrew Torres,64,46,52,C,Below Average Achivement,541126
Samuel Peterson,38,54,61,C,Below Average Achivement,591695
Joseph Gilbert,85,64,20,C,Below Average Achivement,501092
Terry Riddle,19,14,99,D,Poor Pursuance,514301
Henry Nichols,92,67,53,B,Average Performance,565831
Kevin Moran,11,19,37,F,Failed,548392
Christina Powell,82,31,17,D,Poor Pursuance,557494
Michael Owens,65,17,87,C,Below Average Achivement,516421
David Saunders,98,76,59,B+,Good Pursuance,566309
Julie Green,78,42,60,C,Below Average Achivement,583025
Stephen Crawford,42,19,37,F,Failed,506964
Dustin Duarte,67,79,56,B,Average Performance,576403
Kristin Kidd,52,49,20,D,Poor Pursuance,594267
Robert Cruz,21,53,79,C,Below Average Achivement,545211
Neil Perez,78,34,94,B,Average Performance,501841
Amy Price,91,72,33,B,Average Performance,576063
Christine Cook,87,64,98,A,Very Good Achivement,583421
Adam Castillo,98,17,45,C,Below Average Achivement,577375
James Lee,27,73,19,D,Poor Pursuance,596584
John Shannon,65,35,13,D,Poor Pursuance,505943
Tracey Davis,98,93,63,A,Very Good Achivement,558834
Timothy Lewis,50,25,39,D,Poor Pursuance,561584
Ryan Calderon,49,55,10,D,Poor Pursuance,593355
Steven Carpenter,72,76,82,B+,Good Pursuance,501050
Julia Porter,16,16,77,D,Poor Pursuance,551831
Scott Mason,43,40,91,C,Below Average Achivement,500027
Austin Mason,60,64,60,B,Average Performance,565043
Antonio Willis,57,51,86,B,Average Performance,536124
Tiffany Browning,77,53,92,B+,Good Pursuance,517613
Richard White,29,60,57,D,Poor Pursuance,545995
Kristen Martin,76,48,20,D,Poor Pursuance,551987
Mark George,79,46,39,C,Below Average Achivement,583501
Philip Johnson,31,42,17,F,Failed,561162
Jamie Carter,65,10,27,D,Poor Pursuance,589760
John Smith,91,16,100,B,Average Performance,517451
Joshua Brown,35,16,53,D,Poor Pursuance,578682
William White,28,66,38,D,Poor Pursuance,545342
Stephen Perez,55,37,28,D,Poor Pursuance,586942
Penny Underwood,88,53,67,B,Average Performance,586841
Grace Cook,18,39,67,D,Poor Pursuance,552680
Jacob Avila,100,89,70,A,Very Good Achivement,508547
Mrs. Rebecca Meza,43,19,77,D,Poor Pursuance,530280
Tracy Hanna,21,88,98,B,Average Performance,594866
Karina Rodriguez,43,33,99,C,Below Average Achivement,564566
Emma Young,80,57,26,C,Below Average Achivement,571416
Nicole Cabrera,33,49,64,D,Poor Pursuance,501365
Christopher Parker,60,80,89,B+,Good Pursuance,593524
Michael Caldwell,71,32,90,B,Average Performance,534702
Steven Whitehead,69,37,67,C,Below Average Achivement,506799
Robert Johnson,58,68,15,D,Poor Pursuance,565533
Lori Calhoun,11,39,11,F,Failed,527810
Kayla Garcia,17,57,37,D,Poor Pursuance,506706
James Barnett,98,31,35,C,Below Average Achivement,509541
Ann Braun,76,82,80,B+,Good Pursuance,517389
Kenneth Boyd,75,39,12,D,Poor Pursuance,575835
Steven Torres,56,16,73,D,Poor Pursuance,530502
Thomas Ruiz,28,39,40,D,Poor Pursuance,505289
Ryan Zuniga,42,21,83,D,Poor Pursuance,508818
Clinton Camacho,87,15,56,C,Below Average Achivement,598648
Steven Rose,36,70,29,D,Poor Pursuance,535587
Joshua Underwood,62,74,60,B,Average Performance,545525
Julia Copeland,67,93,63,B+,Good Pursuance,563411
Rebecca Butler,64,45,27,D,Poor Pursuance,559199
Kevin Taylor,59,24,60,D,Poor Pursuance,504326
Matthew Gilmore,47,51,47,D,Poor Pursuance,569969
Michelle Krause,47,67,95,B,Average Performance,527032
Nancy Klein,54,87,17,C,Below Average Achivement,594405
Michelle Keller,21,62,72,C,Below Average Achivement,541188
Amanda Shaw,39,98,58,B,Average Performance,580051
Thomas Williams,98,91,11,B,Average Performance,502595
Pam Mccann,86,71,82,B+,Good Pursuance,577383
Samuel Yoder,72,74,57,B,Average Performance,540592
Jason Patterson,71,31,86,B,Average Performance,584507
Kimberly Berger,38,94,84,B+,Good Pursuance,513623
Michael Montgomery,39,90,11,D,Poor Pursuance,577342
Mr. Sean Reilly,29,79,29,D,Poor Pursuance,524719
Rebecca Oliver,53,60,84,B,Average Performance,541076
Angela Miller,66,91,68,B+,Good Pursuance,566412
Allison Atkins DDS,79,85,59,B+,Good Pursuance,589448
Travis Nelson,74,86,91,A,Very Good Achivement,511862
Jonathan Harvey,30,61,36,D,Poor Pursuance,551620
Grant Nelson,78,16,57,D,Poor Pursuance,511789
Jacqueline Adams,79,46,84,B,Average Performance,555577
Victoria Morales,32,50,53,D,Poor Pursuance,504149
Kevin Marsh,10,67,56,D,Poor Pursuance,572401
Elizabeth Richardson,92,55,48,B,Average Performance,566641
Amanda Edwards,25,61,33,D,Poor Pursuance,580595
Brian Martinez,62,13,61,D,Poor Pursuance,584066
Richard Chen,20,16,37,F,Failed,501473
Hayley Gordon,28,40,38,D,Poor Pursuance,598700
Sarah Salazar,70,76,21,C,Below Average Achivement,531758
Richard Powers,60,55,58,C,Below Average Achivement,540668
Carla Reyes,88,98,32,B+,Good Pursuance,543616
Julie Smith,51,36,47,D,Poor Pursuance,574869
Amber Lang,31,12,89,D,Poor Pursuance,500631
Hannah Long,99,68,43,B,Average Performance,553130
Mark Atkins,14,11,68,F,Failed,549801
Robert Ibarra,32,82,92,B,Average Performance,555785
Sara Watson,73,97,68,B+,Good Pursuance,516376
Todd Mckay,45,47,96,B,Average Performance,592444
Natalie Miller,25,62,54,D,Poor Pursuance,594935
Michael Aguirre,46,100,80,B+,Good Pursuance,581398
Abigail Weaver,90,55,91,B+,Good Pursuance,542186
Erica Smith,85,43,82,B,Average Performance,552876
John Jones,99,85,48,B+,Good Pursuance,531042
Cynthia Perkins,18,77,26,D,Poor Pursuance,510587
Austin Sims,75,84,94,A,Very Good Achivement,550631
Derek Santiago,68,77,59,B,Average Performance,554588
Joshua Gonzalez,16,56,17,F,Failed,502121
Eric Ramos,36,53,97,B,Average Performance,504471
Gregory Jensen II,39,33,45,D,Poor Pursuance,550468
Julie King DVM,57,86,62,B,Average Performance,552706
Ashley Mcgee,39,23,27,F,Failed,599752
Kristina Decker,65,61,92,B+,Good Pursuance,531093
Howard Hamilton,90,57,34,C,Below Average Achivement,598020
John Gallagher,67,99,94,A,Very Good Achivement,572331
Kristin Chan,11,55,25,F,Failed,531483
Debra Mcmillan,31,100,81,B,Average Performance,506095
Phillip Fields,58,32,73,C,Below Average Achivement,588722
Kristi Gutierrez,79,23,47,D,Poor Pursuance,566375
Annette Campos,22,40,13,F,Failed,513460
Ryan Davidson,84,19,42,D,Poor Pursuance,592738
Jeffrey Benson,89,43,98,B+,Good Pursuance,563208
Annette Velasquez,74,51,49,C,Below Average Achivement,551185
Ryan Hoffman,88,63,64,B+,Good Pursuance,542825
Melinda Colon,97,39,20,C,Below Average Achivement,589161
Jorge Pham,52,31,11,F,Failed,582072
David Fitzgerald,72,98,74,A,Very Good Achivement,587718
Alan Hunt,34,19,77,D,Poor Pursuance,516571
Marcus Coleman,93,92,67,A,Very Good Achivement,501376
Lori Goodwin,62,95,81,B+,Good Pursuance,587430
Jason Oconnell,68,22,71,C,Below Average Achivement,509278
Karina Rodriguez,39,98,58,B,Average Performance,528623
Karen Cabrera,88,37,50,C,Below Average Achivement,591123
Thomas Espinoza,62,44,87,B,Average Performance,591142
Kyle Hunt,56,94,63,B+,Good Pursuance,585781
Trevor Gordon,54,79,82,B+,Good Pursuance,571044
Bradley White,72,66,54,B,Average Performance,507358
Christine Smith,38,18,30,F,Failed,545198
Olivia Cook,31,62,77,C,Below Average Achivement,529752
Christina Chapman,24,40,33,F,Failed,574354
Hailey Ramirez,16,89,84,B,Average Performance,507552
Sherri Bell,43,21,74,D,Poor Pursuance,561421
Michael Carter,32,46,64,D,Poor Pursuance,556474
Nicole Hale,72,47,45,C,Below Average Achivement,577875
Danielle Mitchell,67,77,43,B,Average Performance,542185
Deborah Horne MD,99,91,76,A,Very Good Achivement,561335
Kelly Vincent,37,51,24,D,Poor Pursuance,595188
James Mcguire,93,82,88,A,Very Good Achivement,518143
Linda Lopez,88,17,55,C,Below Average Achivement,529447
Courtney Hensley,92,46,37,C,Below Average Achivement,548713
Brandon Jacobs,49,24,33,D,Poor Pursuance,573873
Donna Miller,95,100,72,A,Very Good Achivement,534448
Mary Jacobs,93,16,10,D,Poor Pursuance,555684
Justin George,92,100,60,A,Very Good Achivement,512164
Bobby Jones,69,11,28,D,Poor Pursuance,520186
Dr. Amber Harrington,53,59,53,C,Below Average Achivement,529149
Mandy Mccoy,100,24,92,B+,Good Pursuance,532598
Darrell Bauer,88,59,72,B+,Good Pursuance,579799
Jacob Wells,86,12,59,C,Below Average Achivement,565633
Ronald Johnson,21,25,32,F,Failed,579461
Seth Cortez,36,88,61,B,Average Performance,529376
Bradley Wilkerson,44,91,22,C,Below Average Achivement,510901
Mckenzie Wilson,69,80,33,C,Below Average Achivement,539137
Jerry Roman,35,66,71,C,Below Average Achivement,572798
Crystal Mcguire,30,71,75,C,Below Average Achivement,554195
Brian Best,81,54,94,B+,Good Pursuance,581921
Brett Morse,28,90,43,C,Below Average Achivement,564590
Ronald Johnson,49,46,50,D,Poor Pursuance,551561
Ryan Roberts,57,16,47,D,Poor Pursuance,565560
Karen Thomas,55,92,38,B,Average Performance,562939
Amanda Hart,27,52,37,D,Poor Pursuance,524460
Joshua Watts,99,72,40,B,Average Performance,574431
Pamela Turner,45,91,62,B,Average Performance,594603
Emily Thompson,19,13,94,D,Poor Pursuance,559800
Rachel Martin,82,82,59,B+,Good Pursuance,542740
Edward Harris,49,51,92,B,Average Performance,565715
Brittany Walter,27,28,82,D,Poor Pursuance,507678
Isabella Adkins,22,90,45,C,Below Average Achivement,554963
Chase Vaughan,65,31,46,D,Poor Pursuance,529813
Jeffrey Martin,71,15,86,C,Below Average Achivement,563027
Lori Ellis,14,26,56,F,Failed,584196
Justin Morse,36,96,38,C,Below Average Achivement,548090
Shaun Brown,32,18,86,D,Poor Pursuance,514522
Tracy Hoover,98,84,64,A,Very Good Achivement,527258
Anna Quinn,15,98,52,C,Below Average Achivement,531105
Stephen Perez,35,79,96,B,Average Performance,560041
Tammy Rogers,19,82,78,C,Below Average Achivement,596297
Lisa Zamora,36,80,60,C,Below Average Achivement,592528
Evelyn Smith,60,77,65,B,Average Performance,544227
Pamela Wright,16,76,29,D,Poor Pursuance,506023
Brandi Fuentes,24,36,52,D,Poor Pursuance,509963
Joanna Sutton,11,71,79,C,Below Average Achivement,593606
Jose Richards,28,74,60,C,Below Average Achivement,548033
Courtney Ruiz,43,78,11,D,Poor Pursuance,520910
Marcus Ramos,58,61,14,D,Poor Pursuance,549888
Andrew Stewart,62,32,65,C,Below Average Achivement,529945
Kristy Walker,86,55,22,C,Below Average Achivement,573040
Richard Marquez,51,38,96,B,Average Performance,599121
Lawrence Allen,19,57,59,D,Poor Pursuance,587159
Hector Kelly,43,56,10,D,Poor Pursuance,504418
Heidi Wilson PhD,49,95,55,B,Average Performance,540320
Anthony Avery,14,31,90,D,Poor Pursuance,590258
Mr. James Clayton,61,80,59,B,Average Performance,527010
Cameron Lucas,46,35,16,F,Failed,568806
Donna Davis,95,84,16,B,Average Performance,594244
Karen Flores,59,31,79,C,Below Average Achivement,535890
Justin Duncan,42,88,28,C,Below Average Achivement,521774
David Shepard,38,40,39,D,Poor Pursuance,522464
Howard Finley,100,91,80,A,Very Good Achivement,505963
Anna Hammond,64,64,48,C,Below Average Achivement,578399
Angela Howard,46,96,78,B+,Good Pursuance,512707
Stephen Benson,65,14,25,D,Poor Pursuance,574668
Marcia Johnson,85,12,38,D,Poor Pursuance,584813
Nicolas Johnson,100,46,68,B+,Good Pursuance,535776
Lisa Larsen,26,41,88,C,Below Average Achivement,534907
Dana Smith,84,49,97,B+,Good Pursuance,536368
Wendy Dudley,21,59,50,D,Poor Pursuance,535490
John Brooks,99,98,84,A+,Excellent Performance,575535
David Casey,64,59,73,B,Average Performance,506668
Christine Jensen,30,15,86,D,Poor Pursuance,548445
Danielle Parker,16,39,63,D,Poor Pursuance,500056
Eric Frazier,23,34,13,F,Failed,540275
Joshua Williams,82,14,10,D,Poor Pursuance,593214
Brandon Rodriguez,91,34,92,B+,Good Pursuance,545293
Teresa Mckay,76,47,65,B,Average Performance,591543
Elizabeth Sloan,51,28,14,F,Failed,545862
Angela Thornton,76,55,17,D,Poor Pursuance,598387
Courtney Garcia,62,80,79,B+,Good Pursuance,558438
Anna Jacobs,45,28,78,D,Poor Pursuance,599272
Jim Lewis,46,17,65,D,Poor Pursuance,502742
Kathryn Thomas,36,58,69,C,Below Average Achivement,533413
Karen Hernandez,87,36,36,C,Below Average Achivement,531734
Steven Woods,72,70,12,C,Below Average Achivement,539024
Daniel Berry,15,92,87,B,Average Performance,507994
Cheryl Taylor,67,13,79,C,Below Average Achivement,577868
Lisa Palmer,74,41,63,C,Below Average Achivement,538061
Brian Johnson,18,28,30,F,Failed,538119
Larry Johnson,63,86,70,B+,Good Pursuance,519915
Nathan Evans,42,42,48,D,Poor Pursuance,585792
Stephanie Wang,15,100,92,B,Average Performance,566470
Daniel Cook,78,27,24,D,Poor Pursuance,553498
Kristin Hayes,27,96,42,C,Below Average Achivement,518477
Lucas Woods,17,72,44,D,Poor Pursuance,513979
Alex Daugherty,71,99,42,B,Average Performance,560817
Amy Martinez,97,16,41,C,Below Average Achivement,539517
Christopher Mcdowell,72,42,18,D,Poor Pursuance,593120
James Chung,74,30,51,C,Below Average Achivement,588062
Derrick Bradford,16,57,82,C,Below Average Achivement,553966
John Grant,73,94,39,B,Average Performance,545421
Barry Walker,11,57,23,F,Failed,508664
Melanie Hall,65,45,52,C,Below Average Achivement,538486
Michael Davis,57,15,68,D,Poor Pursuance,593116
Anita Bartlett,17,14,63,F,Failed,577296
Dana Higgins,14,89,56,C,Below Average Achivement,581310
Tonya Hays,13,92,70,C,Below Average Achivement,599902
Brian Williams,70,69,23,C,Below Average Achivement,596448
Chad Scott,17,26,63,D,Poor Pursuance,560889
Laura Richards,84,76,96,A,Very Good Achivement,540672
Jacob Gill,45,96,89,B+,Good Pursuance,592081
Kimberly Fuller,25,58,33,D,Poor Pursuance,558683
Robert Hanson,96,91,92,A+,Excellent Performance,542636
Erica Wall,79,60,90,B+,Good Pursuance,541842
Miranda Hodge,57,72,40,C,Below Average Achivement,599182
Alejandro Wilson,25,20,21,F,Failed,530914
Justin Jimenez,89,41,64,B,Average Performance,572967
Jason Durham,84,81,89,A,Very Good Achivement,530862
Phillip Powers,59,34,21,D,Poor Pursuance,593544
Rachel Robles,35,94,44,C,Below Average Achivement,549277
Scott Ross,73,23,72,C,Below Average Achivement,504757
Martha Quinn,87,55,100,B+,Good Pursuance,518134
Ryan Collins,72,50,40,C,Below Average Achivement,599994
Joshua Weiss,59,24,79,C,Below Average Achivement,541414
Justin Costa,33,15,65,D,Poor Pursuance,559755
Michael Martinez,85,35,14,D,Poor Pursuance,515585
Michael Wilkinson,41,37,32,D,Poor Pursuance,519026
Gregory Martin,62,32,63,C,Below Average Achivement,568286
Christina Ross,28,93,78,B,Average Performance,525643
Jessica Garcia,20,36,41,F,Failed,551569
Gregory Hardy,11,40,33,F,Failed,517604
Colin Kemp,27,25,51,D,Poor Pursuance,538036
Tiffany Flores,59,90,68,B+,Good Pursuance,566856
John Mitchell,59,60,19,D,Poor Pursuance,527501
Carolyn Goodman,88,72,96,A,Very Good Achivement,536174
Lisa Johnson,37,52,81,C,Below Average Achivement,594390
Ariana Marks,77,44,94,B+,Good Pursuance,516147
Aaron Rodriguez,14,62,78,C,Below Average Achivement,581441
Jeremy Ruiz,88,58,83,B+,Good Pursuance,589347
Stefanie Baker,65,13,41,D,Poor Pursuance,573744
Ryan Villa,83,52,17,D,Poor Pursuance,537007
Virginia Brooks,91,16,66,C,Below Average Achivement,505059
Mr. Vincent Knox,13,15,66,F,Failed,559082
Timothy Perry,89,45,25,C,Below Average Achivement,598672
James Ruiz,81,29,44,C,Below Average Achivement,592140
Christopher Mendoza,83,11,82,C,Below Average Achivement,521324
Jose Harris,27,74,58,C,Below Average Achivement,576986
Caitlin Wheeler,40,12,38,F,Failed,526028
Patrick Carlson,86,92,25,B,Average Performance,553635
April Lambert,37,57,47,D,Poor Pursuance,511436
Colleen Hebert,32,73,57,C,Below Average Achivement,543112
Brian Smith,56,97,46,B,Average Performance,548466
Abigail Gordon,76,33,88,B,Average Performance,530706
Heather Patton,71,68,59,B,Average Performance,595682
Gregory Mann,15,16,18,F,Failed,596455
Kimberly Johnson,40,75,19,D,Poor Pursuance,547750
Matthew Clark,35,76,53,C,Below Average Achivement,564359
Jo Mckenzie,27,18,33,F,Failed,568362
Ryan Liu,45,50,28,D,Poor Pursuance,554013
Michele Martin,94,89,43,B+,Good Pursuance,559632
Austin Mahoney,19,32,67,D,Poor Pursuance,550465
Sarah Jennings,24,38,66,D,Poor Pursuance,583837
Pamela Gamble,42,70,19,D,Poor Pursuance,507154
Alyssa Sullivan,39,14,79,D,Poor Pursuance,502048
Jeffrey Swanson,41,56,87,B,Average Performance,596235
Tonya Byrd MD,79,17,11,D,Poor Pursuance,528403
Tiffany Lozano,51,64,43,C,Below Average Achivement,581838
Brandon Mann,42,33,99,C,Below Average Achivement,509320
Tracy Hunter,80,22,28,D,Poor Pursuance,534766
Adrian Kennedy,77,90,91,A,Very Good Achivement,566214
Shelly Bauer,46,65,60,C,Below Average Achivement,527513
Adam Dixon,75,36,63,C,Below Average Achivement,526101
Ashley Rivera,31,84,33,D,Poor Pursuance,500750
Russell Crawford,77,30,78,B,Average Performance,585558
Roberto Gillespie,63,100,80,A,Very Good Achivement,529800
Joshua Jones,77,23,98,B,Average Performance,501264
Deborah Wilson,96,44,85,B+,Good Pursuance,561624
Brenda Reed,86,64,18,C,Below Average Achivement,542689
Andrea Gardner,61,91,63,B+,Good Pursuance,549909
Rachel Torres,33,11,82,D,Poor Pursuance,546832
Monica Cohen,12,51,18,F,Failed,530128
Alexis Williams,41,10,55,D,Poor Pursuance,514937
Emily Johns,27,39,12,F,Failed,549498
Jonathan Johnson,54,79,31,C,Below Average Achivement,508498
Michael Thornton,64,32,12,D,Poor Pursuance,566946
Jacob Tran,50,77,70,B,Average Performance,563403
Nicholas Mcbride,24,88,90,B,Average Performance,547969
Tracy Franco,86,33,15,D,Poor Pursuance,505417
Jamie Flores,65,13,23,D,Poor Pursuance,525530
Steven Williams,85,97,44,B+,Good Pursuance,528492
Anthony Ortiz,99,79,67,A,Very Good Achivement,502832
Dana Cross,72,67,96,B+,Good Pursuance,549657
